Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
HTTP Request,6,2578,2632,2646,2647,2647,2317,2647,0.00%,.0,.2,118.49
TOTAL,6,2578,2632,2646,2647,2647,2317,2647,0.00%,.0,.2,118.49
