timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
2019/12/19 21:46:55,2769,HTTP Request,200,OK,Users Thread 1-1,text,true,,55309,120,5,5,http://lifecharger.org/,1709,0,287
2019/12/19 21:46:56,3021,HTTP Request,200,OK,Users Thread 1-2,text,true,,55276,120,4,4,http://lifecharger.org/,2213,0,273
2019/12/19 21:46:56,2956,HTTP Request,200,OK,Users Thread 1-3,text,true,,55276,120,3,3,http://lifecharger.org/,2163,0,266
2019/12/19 21:46:56,2999,HTTP Request,200,OK,Users Thread 1-4,text,true,,55283,120,2,2,http://lifecharger.org/,2168,0,279
2019/12/19 21:46:56,2906,HTTP Request,200,OK,Users Thread 1-5,text,true,,55283,120,1,1,http://lifecharger.org/,2109,0,268
