timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1575732188160,1213,BooksPageHTTP Request-1,200,OK,Users Thread 1-1,text,true,,34358,139,5,5,http://lifecharger.org/books-i-am-reading/,935,0,0
1575732187158,2492,BooksPageHTTP Request,200,OK,Users Thread 1-2,text,true,,35256,277,4,4,http://lifecharger.org/books-i-am-reading/,1213,0,282
1575732187158,1213,BooksPageHTTP Request-0,301,Moved Permanently,Users Thread 1-2,text,true,,918,138,4,4,http://lifecharger.org/books-i-am-reading,1213,0,282
1575732188372,1278,BooksPageHTTP Request-1,200,OK,Users Thread 1-2,text,true,,34338,139,4,4,http://lifecharger.org/books-i-am-reading/,996,0,0
1575732188249,2585,BooksPageHTTP Request,200,OK,Users Thread 1-5,text,true,,35284,277,3,3,http://lifecharger.org/books-i-am-reading/,1245,0,282
1575732188249,1245,BooksPageHTTP Request-0,301,Moved Permanently,Users Thread 1-5,text,true,,918,138,3,3,http://lifecharger.org/books-i-am-reading,1245,0,282
1575732189494,1340,BooksPageHTTP Request-1,200,OK,Users Thread 1-5,text,true,,34366,139,3,3,http://lifecharger.org/books-i-am-reading/,1057,0,0
1575732188976,2623,BooksPageHTTP Request,200,OK,Users Thread 1-4,text,true,,35249,277,2,2,http://lifecharger.org/books-i-am-reading/,1286,0,274
1575732188976,1286,BooksPageHTTP Request-0,301,Moved Permanently,Users Thread 1-4,text,true,,918,138,2,2,http://lifecharger.org/books-i-am-reading,1286,0,274
1575732190261,1338,BooksPageHTTP Request-1,200,OK,Users Thread 1-4,text,true,,34331,139,2,2,http://lifecharger.org/books-i-am-reading/,1064,0,0
1575732188643,3396,BooksPageHTTP Request,200,OK,Users Thread 1-3,text,true,,35249,277,1,1,http://lifecharger.org/books-i-am-reading/,1845,0,272
1575732188643,1845,BooksPageHTTP Request-0,301,Moved Permanently,Users Thread 1-3,text,true,,918,138,1,1,http://lifecharger.org/books-i-am-reading,1845,0,272
1575732190487,1552,BooksPageHTTP Request-1,200,OK,Users Thread 1-3,text,true,,34331,139,1,1,http://lifecharger.org/books-i-am-reading/,1013,0,0
